"id","siafi_code"
l10n_br_base.city_2311355,9853
l10n_br_base.city_2311405,1529
l10n_br_base.city_2311504,1531
l10n_br_base.city_2311603,1533
l10n_br_base.city_2311702,1535
l10n_br_base.city_2311801,1537
l10n_br_base.city_2311900,1539
l10n_br_base.city_2311959,1273
l10n_br_base.city_2312205,1545
l10n_br_base.city_2312007,1541
l10n_br_base.city_2312106,1543
l10n_br_base.city_2312304,1547
l10n_br_base.city_2312403,1549
l10n_br_base.city_2312502,1551
l10n_br_base.city_2312601,1553
l10n_br_base.city_2312700,1555
l10n_br_base.city_2312809,1557
l10n_br_base.city_2312908,1559
l10n_br_base.city_2313005,1561
l10n_br_base.city_2313104,1563
l10n_br_base.city_2313203,1565
l10n_br_base.city_2313252,1275
l10n_br_base.city_2313302,1567
l10n_br_base.city_2313351,1277
l10n_br_base.city_2313401,1569
l10n_br_base.city_2313500,1571
l10n_br_base.city_2313559,1279
l10n_br_base.city_2313609,1573
l10n_br_base.city_2313708,1575
l10n_br_base.city_2313757,9855
l10n_br_base.city_2313807,1577
l10n_br_base.city_2313906,1579
l10n_br_base.city_2313955,9857
l10n_br_base.city_2314003,1581
l10n_br_base.city_2314102,1583
l10n_br_base.city_5300108,9701
l10n_br_base.city_3200102,5601
l10n_br_base.city_3200169,5717
l10n_br_base.city_3200136,5733
l10n_br_base.city_3200201,5603
l10n_br_base.city_3200300,5605
l10n_br_base.city_3200359,5719
l10n_br_base.city_3200409,5607
l10n_br_base.city_3200508,5609
l10n_br_base.city_3200607,5611
l10n_br_base.city_3200706,5613
l10n_br_base.city_3200805,5615
l10n_br_base.city_3200904,5617
l10n_br_base.city_3201001,5619
l10n_br_base.city_3201100,5621
l10n_br_base.city_3201159,0758
l10n_br_base.city_3201209,5623
l10n_br_base.city_3201308,5625
l10n_br_base.city_3201407,5627
l10n_br_base.city_3201506,5629
